areaCode,areaName,areaType,date,newAdmissions
K02000001,United Kingdom,overview,2021-01-28,3045
K02000001,United Kingdom,overview,2021-01-27,3060
K02000001,United Kingdom,overview,2021-01-26,3151
K02000001,United Kingdom,overview,2021-01-25,2932
K02000001,United Kingdom,overview,2021-01-24,3112
K02000001,United Kingdom,overview,2021-01-23,3117
K02000001,United Kingdom,overview,2021-01-22,3393
K02000001,United Kingdom,overview,2021-01-21,3636
K02000001,United Kingdom,overview,2021-01-20,4051
K02000001,United Kingdom,overview,2021-01-19,4161
K02000001,United Kingdom,overview,2021-01-18,4065
K02000001,United Kingdom,overview,2021-01-17,3750
K02000001,United Kingdom,overview,2021-01-16,3941
K02000001,United Kingdom,overview,2021-01-15,3686
K02000001,United Kingdom,overview,2021-01-14,4103
K02000001,United Kingdom,overview,2021-01-13,4224
K02000001,United Kingdom,overview,2021-01-12,4582
K02000001,United Kingdom,overview,2021-01-11,4309
K02000001,United Kingdom,overview,2021-01-10,3937
K02000001,United Kingdom,overview,2021-01-09,4128
K02000001,United Kingdom,overview,2021-01-08,3999
K02000001,United Kingdom,overview,2021-01-07,4295
K02000001,United Kingdom,overview,2021-01-06,4391
K02000001,United Kingdom,overview,2021-01-05,4118
K02000001,United Kingdom,overview,2021-01-04,3936
K02000001,United Kingdom,overview,2021-01-03,3649
K02000001,United Kingdom,overview,2021-01-02,3441
K02000001,United Kingdom,overview,2021-01-01,3369
K02000001,United Kingdom,overview,2020-12-31,2921
K02000001,United Kingdom,overview,2020-12-30,3294
K02000001,United Kingdom,overview,2020-12-29,3252
K02000001,United Kingdom,overview,2020-12-28,3134
K02000001,United Kingdom,overview,2020-12-27,2871
K02000001,United Kingdom,overview,2020-12-26,2530
K02000001,United Kingdom,overview,2020-12-25,2181
K02000001,United Kingdom,overview,2020-12-24,2082
K02000001,United Kingdom,overview,2020-12-23,2279
K02000001,United Kingdom,overview,2020-12-22,2481
K02000001,United Kingdom,overview,2020-12-21,2370
K02000001,United Kingdom,overview,2020-12-20,2170
K02000001,United Kingdom,overview,2020-12-19,2045
K02000001,United Kingdom,overview,2020-12-18,1921
K02000001,United Kingdom,overview,2020-12-17,2144
K02000001,United Kingdom,overview,2020-12-16,2082
K02000001,United Kingdom,overview,2020-12-15,1958
K02000001,United Kingdom,overview,2020-12-14,1956
K02000001,United Kingdom,overview,2020-12-13,1754
K02000001,United Kingdom,overview,2020-12-12,1799
K02000001,United Kingdom,overview,2020-12-11,1689
K02000001,United Kingdom,overview,2020-12-10,1754
K02000001,United Kingdom,overview,2020-12-09,1757
K02000001,United Kingdom,overview,2020-12-08,1784
K02000001,United Kingdom,overview,2020-12-07,1663
K02000001,United Kingdom,overview,2020-12-06,1471
K02000001,United Kingdom,overview,2020-12-05,1378
K02000001,United Kingdom,overview,2020-12-04,1432
K02000001,United Kingdom,overview,2020-12-03,1502
K02000001,United Kingdom,overview,2020-12-02,1486
K02000001,United Kingdom,overview,2020-12-01,1493
K02000001,United Kingdom,overview,2020-11-30,1406
K02000001,United Kingdom,overview,2020-11-29,1389
K02000001,United Kingdom,overview,2020-11-28,1221
K02000001,United Kingdom,overview,2020-11-27,1280
K02000001,United Kingdom,overview,2020-11-26,1426
K02000001,United Kingdom,overview,2020-11-25,1614
K02000001,United Kingdom,overview,2020-11-24,1499
K02000001,United Kingdom,overview,2020-11-23,1588
K02000001,United Kingdom,overview,2020-11-22,1492
K02000001,United Kingdom,overview,2020-11-21,1461
K02000001,United Kingdom,overview,2020-11-20,1553
K02000001,United Kingdom,overview,2020-11-19,1687
K02000001,United Kingdom,overview,2020-11-18,1786
K02000001,United Kingdom,overview,2020-11-17,1719
K02000001,United Kingdom,overview,2020-11-16,1771
K02000001,United Kingdom,overview,2020-11-15,1675
K02000001,United Kingdom,overview,2020-11-14,1616
K02000001,United Kingdom,overview,2020-11-13,1651
K02000001,United Kingdom,overview,2020-11-12,1916
K02000001,United Kingdom,overview,2020-11-11,1972
K02000001,United Kingdom,overview,2020-11-10,1856
K02000001,United Kingdom,overview,2020-11-09,1768
K02000001,United Kingdom,overview,2020-11-08,1692
K02000001,United Kingdom,overview,2020-11-07,1561
K02000001,United Kingdom,overview,2020-11-06,1418
K02000001,United Kingdom,overview,2020-11-05,1591
K02000001,United Kingdom,overview,2020-11-04,1688
K02000001,United Kingdom,overview,2020-11-03,1527
K02000001,United Kingdom,overview,2020-11-02,1574
K02000001,United Kingdom,overview,2020-11-01,1498
K02000001,United Kingdom,overview,2020-10-31,1462
K02000001,United Kingdom,overview,2020-10-30,1386
K02000001,United Kingdom,overview,2020-10-29,1592
K02000001,United Kingdom,overview,2020-10-28,1494
K02000001,United Kingdom,overview,2020-10-27,1499
K02000001,United Kingdom,overview,2020-10-26,1541
K02000001,United Kingdom,overview,2020-10-25,1425
K02000001,United Kingdom,overview,2020-10-24,1262
K02000001,United Kingdom,overview,2020-10-23,1299
K02000001,United Kingdom,overview,2020-10-22,1284
K02000001,United Kingdom,overview,2020-10-21,1264
K02000001,United Kingdom,overview,2020-10-20,1194
K02000001,United Kingdom,overview,2020-10-19,1108
K02000001,United Kingdom,overview,2020-10-18,1091
K02000001,United Kingdom,overview,2020-10-17,1032
K02000001,United Kingdom,overview,2020-10-16,925
K02000001,United Kingdom,overview,2020-10-15,1047
K02000001,United Kingdom,overview,2020-10-14,989
K02000001,United Kingdom,overview,2020-10-13,1031
K02000001,United Kingdom,overview,2020-10-12,889
K02000001,United Kingdom,overview,2020-10-11,824
K02000001,United Kingdom,overview,2020-10-10,724
K02000001,United Kingdom,overview,2020-10-09,708
K02000001,United Kingdom,overview,2020-10-08,714
K02000001,United Kingdom,overview,2020-10-07,694
K02000001,United Kingdom,overview,2020-10-06,725
K02000001,United Kingdom,overview,2020-10-05,630
K02000001,United Kingdom,overview,2020-10-04,633
K02000001,United Kingdom,overview,2020-10-03,533
K02000001,United Kingdom,overview,2020-10-02,529
K02000001,United Kingdom,overview,2020-10-01,529
K02000001,United Kingdom,overview,2020-09-30,452
K02000001,United Kingdom,overview,2020-09-29,442
K02000001,United Kingdom,overview,2020-09-28,445
K02000001,United Kingdom,overview,2020-09-27,343
K02000001,United Kingdom,overview,2020-09-26,351
K02000001,United Kingdom,overview,2020-09-25,382
K02000001,United Kingdom,overview,2020-09-24,425
K02000001,United Kingdom,overview,2020-09-23,424
K02000001,United Kingdom,overview,2020-09-22,352
K02000001,United Kingdom,overview,2020-09-21,373
K02000001,United Kingdom,overview,2020-09-20,289
K02000001,United Kingdom,overview,2020-09-19,261
K02000001,United Kingdom,overview,2020-09-18,263
K02000001,United Kingdom,overview,2020-09-17,265
K02000001,United Kingdom,overview,2020-09-16,285
K02000001,United Kingdom,overview,2020-09-15,271
K02000001,United Kingdom,overview,2020-09-14,258
K02000001,United Kingdom,overview,2020-09-13,226
K02000001,United Kingdom,overview,2020-09-12,218
K02000001,United Kingdom,overview,2020-09-11,232
K02000001,United Kingdom,overview,2020-09-10,219
K02000001,United Kingdom,overview,2020-09-09,203
K02000001,United Kingdom,overview,2020-09-08,187
K02000001,United Kingdom,overview,2020-09-07,147
K02000001,United Kingdom,overview,2020-09-06,139
K02000001,United Kingdom,overview,2020-09-05,131
K02000001,United Kingdom,overview,2020-09-04,155
K02000001,United Kingdom,overview,2020-09-03,146
K02000001,United Kingdom,overview,2020-09-02,147
K02000001,United Kingdom,overview,2020-09-01,135
