areaCode,areaName,areaType,date,covidOccupiedMVBeds
K02000001,United Kingdom,overview,29/01/2021,3832
K02000001,United Kingdom,overview,28/01/2021,3918
K02000001,United Kingdom,overview,27/01/2021,3937
K02000001,United Kingdom,overview,26/01/2021,3961
K02000001,United Kingdom,overview,25/01/2021,4032
K02000001,United Kingdom,overview,24/01/2021,4077
K02000001,United Kingdom,overview,23/01/2021,4066
K02000001,United Kingdom,overview,22/01/2021,4076
K02000001,United Kingdom,overview,21/01/2021,3960
K02000001,United Kingdom,overview,20/01/2021,3953
K02000001,United Kingdom,overview,19/01/2021,3947
K02000001,United Kingdom,overview,18/01/2021,3916
K02000001,United Kingdom,overview,17/01/2021,3871
K02000001,United Kingdom,overview,16/01/2021,3854
K02000001,United Kingdom,overview,15/01/2021,3789
K02000001,United Kingdom,overview,14/01/2021,3672
K02000001,United Kingdom,overview,13/01/2021,3626
K02000001,United Kingdom,overview,12/01/2021,3496
K02000001,United Kingdom,overview,11/01/2021,3363
K02000001,United Kingdom,overview,10/01/2021,3264
K02000001,United Kingdom,overview,09/01/2021,3145
K02000001,United Kingdom,overview,08/01/2021,3098
K02000001,United Kingdom,overview,07/01/2021,2929
K02000001,United Kingdom,overview,06/01/2021,2821
K02000001,United Kingdom,overview,05/01/2021,2645
K02000001,United Kingdom,overview,04/01/2021,2560
K02000001,United Kingdom,overview,03/01/2021,2420
K02000001,United Kingdom,overview,02/01/2021,2256
K02000001,United Kingdom,overview,01/01/2021,2162
K02000001,United Kingdom,overview,31/12/2020,2122
K02000001,United Kingdom,overview,30/12/2020,2066
K02000001,United Kingdom,overview,29/12/2020,1939
K02000001,United Kingdom,overview,28/12/2020,1847
K02000001,United Kingdom,overview,27/12/2020,1751
K02000001,United Kingdom,overview,26/12/2020,1682
K02000001,United Kingdom,overview,25/12/2020,1616
K02000001,United Kingdom,overview,24/12/2020,1607
K02000001,United Kingdom,overview,23/12/2020,1554
K02000001,United Kingdom,overview,22/12/2020,1529
K02000001,United Kingdom,overview,21/12/2020,1512
K02000001,United Kingdom,overview,20/12/2020,1442
K02000001,United Kingdom,overview,19/12/2020,1412
K02000001,United Kingdom,overview,18/12/2020,1364
K02000001,United Kingdom,overview,17/12/2020,1366
K02000001,United Kingdom,overview,16/12/2020,1340
K02000001,United Kingdom,overview,15/12/2020,1326
K02000001,United Kingdom,overview,14/12/2020,1288
K02000001,United Kingdom,overview,13/12/2020,1281
K02000001,United Kingdom,overview,12/12/2020,1243
K02000001,United Kingdom,overview,11/12/2020,1275
K02000001,United Kingdom,overview,10/12/2020,1267
K02000001,United Kingdom,overview,09/12/2020,1243
K02000001,United Kingdom,overview,08/12/2020,1272
K02000001,United Kingdom,overview,07/12/2020,1271
K02000001,United Kingdom,overview,06/12/2020,1249
